a1,a2,growth1,growth2,growth3,epsilon
23.625,0.0,0.28200107703828453,0.9999999999999997,0.28200107703828436,0.0
23.625,0.421875,0.28200107703828453,0.9802853486373249,0.27825236887549853,0.3257176938013551
23.625,0.84375,0.28200107703828453,0.9597347112226422,0.27460783085740453,0.34889117390825947
23.625,1.265625,0.28200107703828453,0.9383809671033865,0.2710630249526087,0.3705310067267547
23.625,1.6875,0.28200107703828453,0.9162798663373015,0.2676137658439392,0.3906049006880079
23.625,2.109375,0.28200107703828453,0.8935129436377949,0.26425610318595366,0.40908124411496727
23.625,2.53125,0.28200107703828453,0.8701889864092517,0.260986305315575,0.42593328234111105
23.625,2.953125,0.28200107703828453,0.846443300489647,0.25780084428292827,0.4411438854312041
23.625,3.375,0.28200107703828453,0.8224341906809421,0.25469638208248296,0.45471039730222007
23.625,3.796875,0.28200107703828453,0.7983365022959943,0.2516697579763221,0.46664885095186676
23.625,4.21875,0.28200107703828453,0.7743326972356632,0.24871797681191404,0.4769967740478806
23.625,4.640625,0.28200107703828453,0.7506025801281206,0.24583819824624634,0.4858139706074547
23.625,5.0625,0.28200107703828453,0.7273131977120907,0.24302772679670237,0.4931810389962187
23.625,5.484375,0.28200107703828453,0.7046104230181828,0.2402840026467132,0.4991958604997684
23.625,5.90625,0.28200107703828453,0.6826132995090299,0.2376045931411042,0.5039686964415415
23.625,6.328125,0.28200107703828453,0.6614115411903173,0.23498718491221757,0.5076167292352907
23.625,6.75,0.28200107703828453,0.6410659238012327,0.23242957658346536,0.5102588389065792
23.625,7.171875,0.28200107703828453,0.6216108598668896,0.2299296720019425,0.5120111872801287
23.625,7.59375,0.28200107703828453,0.6030582918071413,0.2274854739562254,0.5129838988873783
23.625,8.015625,0.28200107703828453,0.585402109370893,0.2250950783395255,0.5132788770015582
23.625,8.4375,0.28200107703828453,0.5686224951439889,0.22275666872199262,0.5129886246481057
23.625,8.859375,0.28200107703828453,0.5526898276440638,0.2204685112992628,0.512195859059477
23.625,9.28125,0.28200107703828453,0.5375679650708424,0.21822895018726673,0.5109736933902603
23.625,9.703125,0.28200107703828453,0.5232168706507542,0.21603640303602173,0.5093861844022323
23.625,10.125,0.28200107703828453,0.5095946237162136,0.21388935693750133,0.5074890864744465
23.625,10.546875,0.28200107703828453,0.49665890133724416,0.2117863646048735,0.5053306958835432
23.625,10.96875,0.28200107703828453,0.4843680277213686,0.20972604080236298,0.5029527072439427
23.625,11.390625,0.28200107703828453,0.4726816846907885,0.2077070590067645,0.5003910336502482
23.625,11.8125,0.28200107703828453,0.46156136479716425,0.20572814828325808,0.4976765635348907
23.625,12.234375,0.28200107703828453,0.4509706343112618,0.2037880903596354,0.4948358418596047
23.625,12.65625,0.28200107703828453,0.44087525932638505,0.20188571688436593,0.4918916726223326
23.625,13.078125,0.28200107703828453,0.4312432358955954,0.20001990685515184,0.48886364527264686
23.625,13.5,0.28200107703828453,0.42204475492977866,0.19818958420570748,0.4857685906893381
