MidPoint,Slope,resultList,LinerType
10,1.0,"[0.9585334237998612, 0.9585334237998608, 0.9585334237998612, 0.9585334237998612, 0.9585334237998608, 0.9585334237998612, 0.9585334237998612, 0.9585334237998608, 0.9585334237998608, 0.9585334237998608, 0.9585334237998612]",3.3306690738754696e-16
20,1.0,"[0.9084433744688263, 0.9084433744688263, 0.908443374468826, 0.9084433744688263, 0.9084433744688263, 0.9084433744688263, 0.9084433744688263, 0.9084433744688263, 0.9084433744688263, 0.9084433744688263, 0.9084433744688263]",3.3306690738754696e-16
30,1.0,"[0.8448458650285241, 0.8448458650285238, 0.8448458650285238, 0.8448458650285241, 0.8448458650285238, 0.8448458650285238, 0.8448458650285238, 0.8448458650285241, 0.8448458650285238, 0.8448458650285241, 0.8448458650285241]",3.3306690738754696e-16
40,1.0,"[0.7551709034157371, 0.7551709034157374, 0.7551709034157378, 0.7551709034157368, 0.7551709034157371, 0.7551709034157381, 0.7551709034157374, 0.7551709034157371, 0.7551709034157378, 0.7551709034157374, 0.7551709034157371]",-9.992007221626409e-16
50,1.0,"[0.5061726804869325, 0.5061726804908663, 0.5061726805231846, 0.5061726805144364, 0.5061726805137174, 0.5061726805115233, 0.5061726805213036, 0.5061726805301744, 0.5061726805075518, 0.5061726805132305, 0.5061726804869325]",-4.32418545415203e-11
60,1.0,"[0.028247813405639262, 0.028247813403896704, 0.028247813402929676, 0.02824781340269546, 0.02824781340237809, 0.028247813402666404, 0.02824781340207453, 0.02824781340283416, 0.028247813403919183, 0.02824781340243845, 0.028247813405196196]",3.121666120042832e-12
70,1.0,"[0.02055198019254745, 0.020551980190108038, 0.020551980189538317, 0.020551980190180275, 0.02055198018906186, 0.020551980189116442, 0.020551980188790404, 0.0205519801883642, 0.02055198018933444, 0.020551980190207566, 0.020551980189674607]",1.3104066443059281e-12
80,1.0,"[0.015411892055069097, 0.015411892053139848, 0.015411892052228357, 0.015411892053918897, 0.015411892052599503, 0.015411892052611703, 0.015411892053908142, 0.0154118920529806, 0.015411892052085485, 0.015411892052958608, 0.015411892054491028]",2.4055427788605144e-12
90,1.0,"[0.01194954642111197, 0.011949546420881288, 0.011949546418704179, 0.01194954642021204, 0.01194954641971841, 0.011949546419578589, 0.01194954641971841, 0.01194954642023066, 0.011949546419514054, 0.011949546420828636, 0.011949546421909964]",2.4077909804853803e-12
100,1.0,"[0.009561690029341778, 0.009561690029349323, 0.00956169002483923, 0.009561690025737719, 0.009561690025665962, 0.009561690026981505, 0.009561690027336436, 0.00956169002775221, 0.009561690026182065, 0.009561690026267146, 0.009561690029341778]",-7.544312397023134e-15
