a1,a2,growth1,growth2,growth3,epsilon
8.6484375,0.0,0.2087187360676854,0.9999999999999997,0.20871873606768587,0.0
8.6484375,0.10546875,0.2087187360676854,0.9490798533585926,0.20685772052389445,0.8248948502357997
8.6484375,0.2109375,0.2087187360676854,0.9023117672315021,0.20503044332615494,0.8191070277559392
8.6484375,0.31640625,0.2087187360676854,0.859752728720205,0.203235974472564,0.8126975295000816
8.6484375,0.421875,0.2087187360676854,0.8211410077055379,0.20147341845123307,0.8059180205776684
8.6484375,0.52734375,0.2087187360676854,0.7860920197462197,0.1997419126268557,0.7989360268715905
8.6484375,0.6328125,0.2087187360676854,0.7542001865719103,0.1980406257180357,0.7918619796492157
8.6484375,0.73828125,0.2087187360676854,0.7250845374631252,0.19636875635940265,0.7847685950638174
8.6484375,0.84375,0.2087187360676854,0.6984052786269377,0.19472553174300544,0.7777038181240243
8.6484375,0.94921875,0.2087187360676854,0.6738667446345352,0.19311020633385506,0.7706992504341863
8.6484375,1.0546875,0.2087187360676854,0.6512145775177237,0.1915220606549081,0.7637756119439381
8.6484375,1.16015625,0.2087187360676854,0.6302308829682846,0.18996040013707702,0.7569463000116848
8.6484375,1.265625,0.2087187360676854,0.610729055009569,0.1884245540302302,0.7502197326510611
8.6484375,1.37109375,0.2087187360676854,0.5925489685773867,0.18691387437137125,0.7436009104504235
8.6484375,1.4765625,0.2087187360676854,0.5755527775862067,0.185427735006505,0.7370924711522595
8.6484375,1.58203125,0.2087187360676854,0.5596213507581559,0.183965530662941,0.7306954106558493
8.6484375,1.6875,0.2087187360676854,0.5446512938608679,0.18252667606897388,0.7244095817680123
8.6484375,1.79296875,0.2087187360676854,0.5305524795924431,0.18111060511810867,0.7182340429049662
8.6484375,1.8984375,0.2087187360676854,0.5172460037735384,0.17971677007524722,0.7121673041929475
8.6484375,2.00390625,0.2087187360676854,0.5046624939066701,0.17834464082233756,0.7062075025612639
8.6484375,2.109375,0.2087187360676854,0.49274070668695996,0.1769937041411779,0.7003525271393537
8.6484375,2.21484375,0.2087187360676854,0.48142636168353875,0.17566346303132013,0.694600109513812
8.6484375,2.3203125,0.2087187360676854,0.470671167964501,0.17435343606099218,0.6889478889027205
