dose,$Gly$,$Gly_{CAA}$,$Gly_{RDM}$
0.0,0.9999999999994873,0.999999999999855,1.0000000000001852
0.006,0.9964200521076929,0.9944377721883169,0.9894429510580338
0.012,0.9928149764916451,0.9888171277453374,0.9787181465613439
0.018000000000000002,0.989184240314386,0.9831362228716943,0.9678182432542463
0.024,0.9855272916957345,0.9773931155776509,0.9567353946506563
0.03,0.9818435587472077,0.9715857582406612,0.9454612064093089
0.036000000000000004,0.9781324485431985,0.965711989424101,0.933986687307282
0.042,0.9743933460231867,0.9597695248655151,0.9223021954778194
0.048,0.9706256128192607,0.9537559475291901,0.9103973796026621
0.054,0.9668285860026308,0.947668696601759,0.8982611148367445
0.06,0.9630015767422125,0.941505055290555,0.8858814333937588
0.066,0.959143868867613,0.9352621372618741,0.873245449944777
0.07200000000000001,0.9552547173280616,0.9289368715295727,0.8603392824087897
0.078,0.9513333465379477,0.9225259855723567,0.8471479692958475
0.084,0.9473789485985848,0.9160259864197471,0.8336553857314206
0.09,0.9433906813847174,0.909433139400415,0.8198441617125853
0.096,0.9393676664829744,0.9027434441905168,0.8056956083049811
0.10200000000000001,0.9353089869680429,0.8959526077314093,0.7911896606462329
0.108,0.9312136850006696,0.8890560135026785,0.7763048512023311
0.114,0.9270807592297587,0.882048686533642,0.7610183330844074
0.12,0.9229091619786552,0.874925253409348,0.7453059814499832
0.126,0.9186977961933482,0.8676798963686719,0.7291426099147456
0.132,0.9144455121274696,0.8603063003935376,0.7125023428623722
0.138,0.9101511037358625,0.8527975919373743,0.6953591659773912
0.14400000000000002,0.9058133047447693,0.8451462676218288,0.6776875810849716
0.15,0.9014307843625154,0.8373441108211703,0.659462957123618
0.156,0.897002142589686,0.8293820935239539,0.6406601262954305
0.162,0.8925259050821442,0.8212502601693364,0.6212456584982713
0.168,0.8880005175136811,0.8129375892420471,0.6011502733683277
0.17400000000000002,0.8834243393774615,0.8044318271915079,0.5801843032157925
0.18,0.8787956371564676,0.7957192875958244,0.557815716647714
0.186,0.8741125767826695,0.7867846062416528,0.5327655692395741
0.192,0.8693732152922852,0.7776104396702049,0.5029455892786908
0.198,0.8645754915699068,0.7681770903418941,0.46703241969874854
0.20400000000000001,0.859717216056956,0.7584620352655017,0.4265443712116476
0.21,0.8547960592792795,0.7484393257174142,0.3851493335246316
0.216,0.8498095390240545,0.7380788118978054,0.34631074858209226
0.222,0.8447550059664973,0.727345125266236,0.3119360725615424
0.228,0.839629627511138,0.7161963180568733,0.2824544881572291
0.234,0.8344303695689645,0.7045820053951485,0.2574703143574209
0.24,0.8291539759388992,0.6924407641458605,0.23630432862789388
0.246,0.8237969448971606,0.6796963817018611,0.2182716080230064
0.252,0.81835550251817,0.6662522496056636,0.20278187361941272
0.258,0.8128255721513978,0.6519826100457872,0.18935713514851155
0.264,0.8072027393547826,0.636718124778614,0.17761956066359283
0.27,0.8014822114296318,0.6202203937342695,0.16727237832698028
0.276,0.7956587705047155,0.6021328331794087,0.15808190933774796
0.28200000000000003,0.7897267188655557,0.5818745718219122,0.14986291431635948
0.28800000000000003,0.7836798149007628,0.5583742155030598,0.14246727352567826
0.294,0.7775111976161465,0.5292513989479416,0.1357754194092693
0.3,0.7712132971145772,0.48745478532795644,0.12968991935448812
0.306,0.7647777277064256,0.4001303609277132,0.12413063382532995
0.312,0.7581951593312517,0.16985508385189926,0.11903107491020912
0.318,0.7514551616333787,0.12672006320282528,0.11433561656703287
0.324,0.7445460131889166,0.11674623562565929,0.10999736378914719
0.33,0.737454465797022,0.10865151656511485,0.10597649793696903
0.336,0.7301654500639249,0.10167045180112763,0.10223898020560326
0.342,0.7226617031526787,0.0955873447079592,0.0987555347305958
0.34800000000000003,0.7149232916134741,0.09023466153437797,0.09550083573594115
0.354,0.7069269900849006,0.08548094948966338,0.09245285532951482
0.36,0.6986454576500343,0.08122428516218766,0.0895923419624297
0.366,0.6900461228445806,0.0773852253196697,0.08690238993730437
0.372,0.6810896365201455,0.073901101377465,0.08436808949982996
0.378,0.6717276607048087,0.07072179542703581,0.08197623696123232
0.384,0.6618995930228768,0.06780668777881266,0.0797150970994507
0.39,0.6515274945610975,0.06512244419971333,0.07757420073495952
0.396,0.6405077875072822,0.06264139899745483,0.07554417786327612
0.402,0.6286966698360762,0.06034035577647988,0.07361661409856517
0.40800000000000003,0.6158820371225029,0.0581996865294588,0.07178393325815358
0.41400000000000003,0.601722493888793,0.05620264486369804,0.07003929283639752
0.42,0.5855912835733743,0.054334836501090535,0.06837649708221397
0.426,0.5660711501812096,0.052583804415628016,0.0667899215537934
0.432,0.5385697005935338,0.05093870280668409,0.06527444837576417
0.438,0.46985984395444386,0.04939003470802208,0.06382540968423642
0.444,0.05048142812130337,0.047929441362196006,0.06243853980159278
0.45,0.048424747419444136,0.046549532647477875,0.061109931662725624
0.456,0.04614783117414218,0.045243744293203714,0.05983600002763046
0.462,0.04399588677606555,0.04400622418288649,0.058613448618699035
0.468,0.0420243324296879,0.0428317337488544,0.05743924168068093
0.47400000000000003,0.040225979771557,0.04171556906536386,0.05631057833519783
0.48,0.038582417344624795,0.04065349162205277,0.05522487023839591
0.486,0.03707484989044358,0.03964167077712163,0.05417972205379967
0.492,0.03568654069181568,0.03867663539830228,0.05317291340176353
0.498,0.0344031435954855,0.0377552310054786,0.052202383017667026
0.504,0.03321248578368647,0.0368745839184561,0.05126621493053813
0.51,0.03210423940051341,0.03603207054016352,0.05036262571627569
0.516,0.031069607080416596,0.0352252896743141,0.04948995330235193
0.522,0.03010105419977865,0.03445203910048344,0.0486466465833973
