dose,$Gly$,$Gly_{CAA}$,$Gly_{RDM}$
0.18,0.7665011745813743,0.8233645978853216,0.8999311935957962
0.2,0.7452026692380072,0.8068345844221668,0.8899363420797272
0.22,0.7247715690565097,0.7908496795642787,0.8801440674274025
0.24,0.7051804244177933,0.7753900358055653,0.8705488254804151
0.26,0.6864000233975557,0.7604361674222349,0.8611452203564631
0.28,0.668399951239079,0.7459690042566558,0.851927994918817
0.3,0.6511490771704114,0.7319699326923073,0.8428920212222155
0.32,0.6346159689940436,0.718420825590338,0.8340322911567838
0.34,0.6187692388603816,0.7053040629004549,0.8253439075016705
0.36,0.6035778256332803,0.692602544558437,0.8168220755797008
0.38,0.5890112204166246,0.6802996971513591,0.8084620956739317
0.4,0.5750396423084617,0.6683794756718159,0.8002593563318927
0.42,0.561634171444153,0.6568263615143562,0.7922093286445204
0.44,0.5487668460448188,0.6456253576894074,0.7843075615495904
0.46,0.5364107296190327,0.6347619820582538,0.7765496781729072
0.48,0.5245399537838317,0.6242222592297336,0.7689313731844017
0.5,0.5131297414476992,0.6139927116124368,0.7614484111310027
0.52,0.5021564143905516,0.6040603499870029,0.7540966256651305
0.54,0.4915973886132328,0.5944126638486121,0.7468719195890834
0.56,0.4814311602344349,0.5850376116979613,0.7397702656146999
0.58,0.4716372842059439,0.5759236113574785,0.7327877077318107
0.6,0.4621963476569977,0.5670595303705782,0.7259203630739974
0.62,0.45308993933304575,0.5584346764804532,0.7191644241791307
0.64,0.4443006162768432,0.5500387881699565,0.7125161615211109
0.66,0.4358118686626239,0.5418620252318502,0.7059719262509074
0.68,0.42760808349195234,0.5338949593140458,0.699528153004537
0.7000000000000001,0.41967450770802694,0.5261285644245454,0.6931813627378887
0.72,0.41199721116243904,0.5185542073283703,0.6869281654944833
0.74,0.4045630497620655,0.5111636378280426,0.68076526302373
0.76,0.39735962905724814,0.50394897889819,0.6746894512632828
0.78,0.39037526847448,0.49690271663816904,0.668697622550479
0.8,0.3835989663242933,0.4900176901030976,0.6627867675810106
0.8200000000000001,0.37702036574099207,0.4832870809272255,0.6569539770909478
0.84,0.3706297215813635,0.4767044028199398,0.6511964432073111
0.86,0.364417868392394,0.47026349091446124,0.6455114605039192
0.88,0.35837618946338223,0.4639584910090923,0.6398964266783337
0.9,0.35249658699987674,0.45778384872459554,0.6343488429627032
0.92,0.3467714534502238,0.4517342985959356,0.6288663141528797
0.9400000000000001,0.34119364395286705,0.44580485312226087,0.6234465483243318
0.96,0.3357564499403422,0.4399907918593077,0.6180873562854369
0.98,0.3304535738811828,0.4342876505081538,0.6127866506689813
1.0,0.3252791051333336,0.4286912100819011,0.6075424447747287
1.02,0.3202274969020223,0.4231974861715852,0.6023528511678637
1.04,0.3152935442965867,0.41780271837174127,0.5972160800020088
1.06,0.31047236341061957,0.4125033597684224,0.592130437136618
