dose,$Gly$,$Gly_{CAA}$,$Gly_{RDM}$
0.0,0.9999999999994873,0.999999999999855,1.0000000000001852
0.005,0.994124014042565,0.9909263567735641,0.9824739292765037
0.01,0.9881810110258563,0.9816969555664861,0.9644266096800006
0.015,0.9821686492531361,0.9723035361661532,0.9458096701318869
0.02,0.976084447523705,0.9627370832896722,0.9265668034965026
0.025,0.9699257732181753,0.9529877263984811,0.9066318066742525
0.03,0.9636898290436082,0.9430446217574433,0.8859259424350069
0.035,0.9573736382488791,0.9328958127348967,0.8643543053568181
0.04,0.950974028088858,0.9225280632276819,0.8418006762268277
0.045,0.9444876112770507,0.9119266576097937,0.8181199888921028
0.05,0.9379107651193351,0.9010751585964875,0.7931268398224398
0.055,0.9312396079643621,0.8899551116702934,0.7665770520913648
0.06,0.9244699725364823,0.8785456809064326,0.7381362320890678
0.065,0.917597375631569,0.8668231956697127,0.7073223006173757
0.07,0.9106169835504876,0.8547605799708655,0.6733931467590899
0.075,0.9035235725138981,0.8423266250576361,0.6351178248213902
0.08,0.8963114831381157,0.8294850491197897,0.5903307593972281
0.085,0.8889745678454407,0.8161932625437094,0.5353210591036742
0.09,0.8815061298207425,0.8024007173740747,0.46546697166358103
0.095,0.8738988517917128,0.788046655605295,0.3816732410879593
0.1,0.8661447124792585,0.7730569643762054,0.2987186075081587
0.105,0.8582348880041888,0.7573396619800177,0.23273031520133955
0.11,0.8501596348005271,0.740778206073246,0.1859385189822703
0.115,0.8419081496095865,0.7232211838849169,0.1532616734777068
0.12,0.8334684008189958,0.7044656721229245,0.12981401834855955
0.125,0.8248269236314313,0.6842288113360684,0.11237077358752945
0.13,0.8159685690979861,0.662095738707895,0.0989512102949182
0.135,0.8068761936286079,0.6374156609180568,0.08832826777129363
0.14,0.7975302707325316,0.6090714513806994,0.07971763348674228
0.145,0.7879083997172258,0.5749009103938716,0.07259982939481135
0.15,0.7779846757154443,0.5300325587836339,0.06661892172872584
0.155,0.767728869787244,0.4617278820977584,0.06152348311238204
0.16,0.7571053436765857,0.3412641721733754,0.05713107505589415
0.165,0.7460715853198782,0.19295670294505407,0.05330617176036424
0.17,0.7345761878542919,0.11654518746011645,0.0499460063066619
0.17500000000000002,0.7225559864869727,0.08433454422766996,0.0469712337901438
0.18,0.7099318735892238,0.06751082527701786,0.04431961151064977
0.185,0.6966024461879131,0.05705500870981023,0.041941619180741886
0.19,0.6824339036914407,0.04979753145292516,0.039797361193882136
0.195,0.6672430164804808,0.04438540428959884,0.03785433252871771
0.2,0.6507661883337531,0.04014739638938888,0.03608578009846544
0.20500000000000002,0.6325975281346711,0.036711278777396626,0.03446948291961599
0.21,0.6120478525602804,0.03385254640771544,0.03298682988736737
0.215,0.5877622500161109,0.031426715696959776,0.03162211510090315
0.22,0.5563898321556683,0.029335915745895808,0.030361991865391996
0.225,0.5057808759435798,0.027511063302414603,0.029195045422953026
0.23,0.3503171784371295,0.025901726661091275,0.028111456174088258
0.23500000000000001,0.07206626361674284,0.024470048984920535,0.02710273025007172
0.24,0.04042475213568234,0.023186940476471546,0.02616148351499972
0.245,0.03136259890904568,0.022029600190774615,0.02528126602602973
0.25,0.02666671870528016,0.020979849955179316,0.024456419396486167
0.255,0.023601939304414805,0.020022982628560736,0.023681959140821218
0.26,0.02135602352006326,0.01914694569501139,0.022953477239080314
0.265,0.019596266882544885,0.018341750130046755,0.022267061663131728
0.27,0.018157548579748814,0.017599034264146413,0.02161922863448955
0.275,0.016946699910018403,0.016911736081536906,0.021006865671172697
0.28,0.01590611609901666,0.01627384358312593,0.02042718377040403
0.28500000000000003,0.014997676351392824,0.015680201736003162,0.01987767622937821
0.29,0.014194805936495875,0.015126361466011276,0.019356084424940485
0.295,0.013478207092124555,0.014608460237066797,0.018860367691560968
0.3,0.012833401336644741,0.014123126418294744,0.018388677838902988
0.305,0.012249233411022043,0.013667402323598067,0.017939337052752222
0.31,0.011716917753977643,0.013238681421635584,0.017510818691125012
0.315,0.011229406696392052,0.012834656867734325,0.0171017310442114
0.32,0.010780957887884164,0.01245327906548102,0.016710802479884608
0.325,0.010366829548353598,0.012092720220562044,0.016336868992132263
0.33,0.009983060582792327,0.01175134485601173,0.015978863105723863
0.335,0.009626308399792916,0.0114276848712073,0.01563580404755499
0.34,0.009293727059804276,0.011120418346610515,0.015306789284429632
0.34500000000000003,0.008982874220407168,0.010828351744794898,0.01499098671315675
0.35000000000000003,0.008691639111391954,0.010550404555834744,0.014687628207975825
0.355,0.008418185716334679,0.01028559613198885,0.014396003479263921
0.36,0.008160907950425938,0.010033034290973243,0.014115454788056708
0.365,0.007918393339669849,0.009791905548612435,0.013845372212696772
0.37,0.007689393806190388,0.009561466620174264,0.013585189349328503
0.375,0.007472801684286269,0.00934103695818097,0.013334379669038929
0.38,0.007267629833388666,0.009129992272598895,0.013092452835269136
0.385,0.007072995374512776,0.00892775868617299,0.01285895188801363
0.39,0.006888105820327334,0.008733807970954603,0.012633450439393446
0.395,0.006712247536084444,0.008547652928642731,0.012415550074742255
0.4,0.006544775945841984,0.008368843538349645,0.012204878212597333
0.405,0.006385107236580409,0.008196963487034126,0.012001085957891648
0.41000000000000003,0.006232711217313057,0.008031627008046585,0.01180384637688303
0.41500000000000004,0.006087105079519383,0.007872476200515215,0.011612852669550902
0.42,0.005947848307395549,0.007719178540016747,0.01142781675788961
0.425,0.005814537939076136,0.007571424704945123,0.011248467936077837
0.43,0.005686804671095036,0.007428926537117114,0.011074551297869871
0.435,0.005564309262312377,0.007291415327592207,0.010905827044840706
