dose1,dose2,single,double
0.0,0.0,1.35,1.35
0.421875,0.2109375,1.3233852206603887,1.3236406665159501
0.84375,0.421875,1.2956418601505675,1.2966190156071808
1.265625,0.6328125,1.2668143055895713,1.2688888712609705
1.6875,0.84375,1.2369778195553571,1.2403990853970406
2.109375,1.0546875,1.2062424739110231,1.211092882409669
2.53125,1.265625,1.1747551316524898,1.180907128533097
2.953125,1.4765625,1.1426984556610231,1.149771535221252
3.375,1.6875,1.1102861574192715,1.1176078232981423
3.796875,1.8984375,1.077754278099592,1.0843289068632929
4.21875,2.109375,1.045349141268146,1.049838213889001
4.640625,2.3203125,1.0133134831729638,1.0140293632999249
5.0625,2.53125,0.9818728169113224,0.9767865989147657
5.484375,2.7421875,0.9512240710745464,0.9379866936863628
5.90625,2.953125,0.92152795433719,0.8975035694522273
6.328125,3.1640625,0.8929055806069284,0.8552177476701929
6.75,3.375,0.8654389971316637,0.8110340693432891
7.171875,3.5859375,0.8391746608203013,0.7649128256529185
7.59375,3.796875,0.8141286939396404,0.7169207147440878
8.015625,4.0078125,0.790292847650706,0.6673060916716212
8.4375,4.21875,0.7676403684443853,0.616591509503788
8.859375,4.4296875,0.7461312673194858,0.5656480928683396
9.28125,4.640625,0.7257167528456374,0.5156785471841158
9.703125,4.8515625,0.7063427753785178,0.4680377038358767
10.125,5.0625,0.687952742016888,0.42392059586175523
10.546875,5.2734375,0.6704895168052797,0.38408497141063536
10.96875,5.484375,0.6538968374238479,0.348767609369463
11.390625,5.6953125,0.6381202743325645,0.317791265966583
11.8125,5.90625,0.6231078424761716,0.2907430202380998
12.234375,6.1171875,0.6088103563202036,0.26712453848623946
12.65625,6.328125,0.5951816000906205,0.24644329445143
13.078125,6.5390625,0.5821783684590538,0.22825499756363601
13.5,6.75,0.569760419155201,0.21217660847686715
13.921875,6.9609375,0.5578903680535151,0.19788491165854427
14.34375,7.171875,0.5465335488365048,0.1851094314287833
14.765625,7.3828125,0.5356578529513625,0.17362408002672614
15.1875,7.59375,0.5252335608275959,0.16323941959708513
15.609375,7.8046875,0.5152331718395705,0.15379615892411244
16.03125,8.015625,0.5056312379734844,0.14515993628553575
16.453125,8.2265625,0.49640420435034943,0.13721721908471102
16.875,8.4375,0.4875302584777156,0.12987209261207983
17.296875,8.6484375,0.47898918921079986,0.12304372039327993
17.71875,8.859375,0.4707622557921034,0.11666429274032292
18.140625,9.0703125,0.4628320669286922,0.11067731924438741
18.5625,9.28125,0.45518246960025,0.10503615742703626
18.984375,9.4921875,0.447798447126617,0.09970270160844225
19.40625,9.703125,0.44066602593013876,0.09464618270993229
19.828125,9.9140625,0.4337721903837632,0.08984205147850818
20.25,10.125,0.4271048051245496,0.0852709341674781
20.671875,10.3359375,0.42065254422287335,0.08091766171742584
21.09375,10.546875,0.41440482662206785,0.0767703802109676
21.515625,10.7578125,0.4083517572960251,0.0728197533524415
21.9375,10.96875,0.4024840736094438,0.06905826672312516
22.359375,11.1796875,0.3967930964043273,0.06547964027762701
22.78125,11.390625,0.391270685375256,0.0620783508118578
23.203125,11.6015625,0.3859091983337153,0.05884926097573852
23.625,11.8125,0.38070145399761834,0.055787346940012986
24.046875,12.0234375,0.37564069797580757,0.05288751328496501
24.46875,12.234375,0.3707205716484411,0.05014448141377524
24.890625,12.4453125,0.3659350836728128,0.04755273719722272
25.3125,12.65625,0.36127858387031675,0.04510652359222507
25.734375,12.8671875,0.35674573927406356,0.042799865458252886
26.15625,13.078125,0.3523315121382098,0.04062661527440447
26.578125,13.2890625,0.3480311397295588,0.03858051066688209
27.0,13.5,0.34384011573957046,0.036655236496270546
27.421875,13.7109375,0.3397541731707317,0.03484448627899892
27.84375,13.921875,0.3357692685655098,0.0331420195480258
28.265625,14.1328125,0.331881567458884,0.03154171228395845
28.6875,14.34375,0.32808743094697684,0.030037600032066614
29.109375,14.5546875,0.3243834032746289,0.028623912722145848
29.53125,14.765625,0.3207662003540533,0.027295101650460354
29.953125,14.9765625,0.3172326991350379,0.026045859093564664
30.375,15.1875,0.31377992775467173,0.02487113133277289
30.796875,15.3984375,0.3104050564012985,0.023766125949378995
31.21875,15.609375,0.307105388833467,0.022726314357065368
31.640625,15.8203125,0.30387835450010536,0.021747430191658725
32.0625,16.03125,0.3007215012130533,0.020825464839634145
32.484375,16.2421875,0.29763248832750533,0.019956660249542915
32.90625,16.453125,0.29460908038992123,0.019137500019602204
33.328125,16.6640625,0.2916491412165529,0.018364699160707477
33.75,16.875,0.2887506283689711,0.017635193003514574
34.171875,17.0859375,0.2859115879959536,0.01694612556380748
34.59375,17.296875,0.28313015001369984,0.016294837741125376
35.015625,17.5078125,0.28040452359878293,0.015678855498219495
35.4375,17.71875,0.27773299297041015,0.015095878231142897
35.859375,17.9296875,0.27511391344053976,0.014543767457690848
36.28125,18.140625,0.27254570771218034,0.01402053592078683
36.703125,18.3515625,0.27002686240785917,0.01352433718260834
37.125,18.5625,0.2675559248116833,0.013053455704372836
37.546875,18.7734375,0.265131499809791,0.01260629751823603
37.96875,18.984375,0.2627522470152066,0.012181381435693119
38.390625,19.1953125,0.26041687806421127,0.011777330801925239
38.8125,19.40625,0.2581241540723828,0.01139286579303674
39.234375,19.6171875,0.2558728832394044,0.011026796243555953
39.65625,19.828125,0.25366191859248305,0.010678014973010786
40.078125,20.0390625,0.2514901558591595,0.010345491596287964
40.5,20.25,0.2493565314608503,0.010028266792608924
40.921875,20.4609375,0.24726002061920896,0.009725446955199057
41.34375,20.671875,0.24519963556791005,0.009436199329595645
