a1,a2,growth1,growth2,growth3,epsilon
15.1875,0.0,0.38906189690932985,0.9999999999999997,0.3890618969093301,0.0
15.1875,0.421875,0.38906189690932985,0.9802853486373249,0.3581058468652457,-3.035875298511482
15.1875,0.84375,0.38906189690932985,0.9597347112226422,0.32383301241494483,-3.1638054901822823
15.1875,1.265625,0.38906189690932985,0.9383809671033865,0.28640242967070734,-3.2821850248157602
15.1875,1.6875,0.38906189690932985,0.9162798663373015,0.24731660124304314,-3.351710953440645
15.1875,2.109375,0.38906189690932985,0.8935129436377949,0.20998647487191663,-3.322355282660716
15.1875,2.53125,0.38906189690932985,0.8701889864092517,0.17804365079263243,-3.178205228208494
15.1875,2.953125,0.38906189690932985,0.846443300489647,0.15273823041084136,-2.9556672081272928
15.1875,3.375,0.38906189690932985,0.8224341906809421,0.1331729940353747,-2.7040207181112903
15.1875,3.796875,0.38906189690932985,0.7983365022959943,0.11789853553712529,-2.456089761920748
15.1875,4.21875,0.38906189690932985,0.7743326972356632,0.10569357828002766,-2.227482939427587
15.1875,4.640625,0.38906189690932985,0.7506025801281206,0.09568314448784179,-2.0235558930557196
15.1875,5.0625,0.38906189690932985,0.7273131977120907,0.08726842978843252,-1.8446380534163556
15.1875,5.484375,0.38906189690932985,0.7046104230181828,0.0800429685756127,-1.6888787272968389
15.1875,5.90625,0.38906189690932985,0.6826132995090299,0.07372952472779133,-1.553648591023848
15.1875,6.328125,0.38906189690932985,0.6614115411903173,0.06813703069896364,-1.4361976410574508
15.1875,6.75,0.38906189690932985,0.6410659238012327,0.06313183555335235,-1.3339472029581363
15.1875,7.171875,0.38906189690932985,0.6216108598668896,0.0586185327582919,-1.244603684601057
15.1875,7.59375,0.38906189690932985,0.6030582918071413,0.05452716458309255,-1.1661861757119292
15.1875,8.015625,0.38906189690932985,0.585402109370893,0.05080470731103193,-1.0970136052208592
15.1875,8.4375,0.38906189690932985,0.5686224951439889,0.04740944964248034,-1.0356745256431457
15.1875,8.859375,0.38906189690932985,0.5526898276440638,0.044307325441348445,-0.9809912583552328
15.1875,9.28125,0.38906189690932985,0.5375679650708424,0.041469555062661895,-0.9319842759026834
15.1875,9.703125,0.38906189690932985,0.5232168706507542,0.038871149380551244,-0.8878395819426307
15.1875,10.125,0.38906189690932985,0.5095946237162136,0.03648997088336389,-0.8478801722926526
15.1875,10.546875,0.38906189690932985,0.49665890133724416,0.03430614566632681,-0.8115417697430585
15.1875,10.96875,0.38906189690932985,0.4843680277213686,0.032301690254353824,-0.7783525767423616
15.1875,11.390625,0.38906189690932985,0.4726816846907885,0.03046026597671798,-0.7479165907818581
15.1875,11.8125,0.38906189690932985,0.46156136479716425,0.02876700664207861,-0.7198999675353778
15.1875,12.234375,0.38906189690932985,0.4509706343112618,0.02720838695419232,-0.694019930996515
15.1875,12.65625,0.38906189690932985,0.44087525932638505,0.025772112958658208,-0.6700357789871935
15.1875,13.078125,0.38906189690932985,0.4312432358955954,0.024447024522367775,-0.6477415937076888
15.1875,13.5,0.38906189690932985,0.42204475492977866,0.023223004795058396,-0.6269603306066829
15.1875,13.921875,0.38906189690932985,0.4132521244840854,0.022090894437940455,-0.6075390169215342
15.1875,14.34375,0.38906189690932985,0.40483966580481795,0.021042410134142923,-0.5893448407639137
15.1875,14.765625,0.38906189690932985,0.39678359477878683,0.020070067181414252,-0.5722619560464548
15.1875,15.1875,0.38906189690932985,0.38906189690933,0.01916710650941985,-0.5561888622623875
15.1875,15.609375,0.38906189690932985,0.3816542013626445,0.01832742661735422,-0.5582249141481466
15.1875,16.03125,0.38906189690932985,0.3745416577581364,0.017545520058843956,-0.5601493591513028
15.1875,16.453125,0.38906189690932985,0.3677068180372957,0.016816415241065544,-0.5619696650530265
15.1875,16.875,0.38906189690932985,0.36113352479830796,0.01613562297535438,-0.5636927944120608
15.1875,17.296875,0.38906189690932985,0.354806806822815,0.015499087841899701,-0.5653252271200547
15.1875,17.71875,0.38906189690932985,0.3487127820682258,0.014903144084294741,-0.5668729854156338
15.1875,18.140625,0.38906189690932985,0.3428385680953295,0.014344475793571496,-0.5683416601409493
15.1875,18.5625,0.38906189690932985,0.3371721997038927,0.013820081051013143,-0.5697364375308841
15.1875,18.984375,0.38906189690932985,0.3317025534271315,0.01332723971904757,-0.5710621258811754
15.1875,19.40625,0.38906189690932985,0.32641927846678565,0.012863484578974259,-0.5723231815565134
15.1875,19.828125,0.38906189690932985,0.32131273361763285,0.012426575482768735,-0.5735237341304541
15.1875,20.25,0.38906189690932985,0.31637392972194495,0.012014476248304705,-0.5746676103277648
15.1875,20.671875,0.38906189690932985,0.3115944772022295,0.011625334011747307,-0.5757583566885645
15.1875,21.09375,0.38906189690932985,0.3069665382387442,0.011257460782321385,-0.5767992608869612
15.1875,21.515625,0.38906189690932985,0.30248278318253796,0.010909316974337847,-0.5777933716399236
15.1875,21.9375,0.38906189690932985,0.29813635082230244,0.010579496696852856,-0.578743517258331
15.1875,22.359375,0.38906189690932985,0.2939208121521502,0.010266714616345336,-0.5796523228408311
15.1875,22.78125,0.38906189690932985,0.2898301373162694,0.009969794212356501,-0.5805222262071906
15.1875,23.203125,0.38906189690932985,0.2858586654343509,0.009687657284815583,-0.5813554925646174
15.1875,23.625,0.38906189690932985,0.28200107703828453,0.009419314559382237,-0.5821542280666624
15.1875,24.046875,0.38906189690932985,0.27825236887549837,0.009163857282403584,-0.5829203922595868
15.1875,24.46875,0.38906189690932985,0.27460783085740453,0.008920449688713306,-0.5836558095336913
15.1875,24.890625,0.38906189690932985,0.2710630249526087,0.008688322254676188,-0.5843621795984041
15.1875,25.3125,0.38906189690932985,0.2676137658439395,0.00846676560883029,-0.5850410873036751
15.1875,25.734375,0.38906189690932985,0.26425610318595383,0.008255125127781825,-0.5856940112514657
15.1875,26.15625,0.38906189690932985,0.26098630531557515,0.008052796014203714,-0.5863223320748424
15.1875,26.578125,0.38906189690932985,0.25780084428292827,0.007859218891989421,-0.5869273398790429
15.1875,27.0,0.38906189690932985,0.25469638208248296,0.007673875840104574,-0.5875102410492189
15.1875,27.421875,0.38906189690932985,0.25166975797632224,0.007496286806742367,-0.5880721645501191
15.1875,27.84375,0.38906189690932985,0.2487179768119142,0.007326006376863856,-0.5886141676740901
15.1875,28.265625,0.38906189690932985,0.2458381982462465,0.007162620848725446,-0.5891372413286629
15.1875,28.6875,0.38906189690932985,0.2430277267967022,0.0070057455881492045,-0.589642314895486
15.1875,29.109375,0.38906189690932985,0.24028400264671335,0.006855022632525536,-0.5901302606910843
15.1875,29.53125,0.38906189690932985,0.2376045931411042,0.00671011851784296,-0.5906018980694818
15.1875,29.953125,0.38906189690932985,0.23498718491221757,0.006570722307654547,-0.5910579971852156
15.1875,30.375,0.38906189690932985,0.23242957658346552,0.006436543798465893,-0.5914992824804143
15.1875,30.796875,0.38906189690932985,0.2299296720019425,0.006307311891866899,-0.5919264358634377
15.1875,31.21875,0.38906189690932985,0.22748547395622556,0.006182773108210289,-0.5923400996649856
15.1875,31.640625,0.38906189690932985,0.22509507833952502,0.006062690234020595,-0.5927408793473449
15.1875,32.0625,0.38906189690932985,0.22275666872199262,0.005946841087461766,-0.5931293460055825
15.1875,32.484375,0.38906189690932985,0.22046851129926262,0.005835017389557758,-0.5935060386846465
15.1875,32.90625,0.38906189690932985,0.21822895018726673,0.005727023733276918,-0.5938714665112199
15.1875,33.328125,0.38906189690932985,0.2160364030360219,0.005622676640308102,-0.594226110661738
15.1875,33.75,0.38906189690932985,0.21388935693750133,0.005521803695191426,-0.5945704261958237
15.1875,34.171875,0.38906189690932985,0.2117863646048735,0.005424242753286231,-0.5949048437383495
15.1875,34.59375,0.38906189690932985,0.2097260408023633,0.005329841213152537,-0.5952297710418746
15.1875,35.015625,0.38906189690932985,0.20770705900676484,0.005238455346907739,-0.5955455944436913
15.1875,35.4375,0.38906189690932985,0.20572814828325925,0.005149949685902602,-0.5958526802057834
15.1875,35.859375,0.38906189690932985,0.2037880903596367,0.005064196455469519,-0.5961513757566711
15.1875,36.28125,0.38906189690932985,0.20188571688436593,0.004981075052524256,-0.5964420108578837
15.1875,36.703125,0.38906189690932985,0.20001990685515425,0.004900471564930068,-0.5967248986797812
15.1875,37.125,0.38906189690932985,0.19818958420570892,0.004822278329014658,-0.5970003367930602
15.1875,37.546875,0.38906189690932985,0.19639371553947735,0.004746393518525348,-0.5972686081105049
15.1875,37.96875,0.38906189690932985,0.1946313079999529,0.00467272076660398,-0.5975299817479321
15.1875,38.390625,0.38906189690932985,0.19290140726804397,0.0046011688147467615,-0.597784713837096
15.1875,38.8125,0.38906189690932985,0.19120309567771138,0.004531651189336906,-0.5980330482703464
15.1875,39.234375,0.38906189690932985,0.18953549044178497,0.004464085899799062,-0.5982752174130622
15.1875,39.65625,0.38906189690932985,0.18789774198046763,0.004398395160738696,-0.5985114427511061
15.1875,40.078125,0.38906189690932985,0.1862890323456749,0.00433450513265576,-0.5987419355075234
15.1875,40.5,0.38906189690932985,0.1847085737348022,0.004272345681505069,-0.5989668972156577
15.1875,40.921875,0.38906189690932985,0.1831556070880504,0.004211850155803244,-0.5991865202498121
15.1875,41.34375,0.38906189690932985,0.18162940076384612,0.0041529551779448245,-0.59940098833378
15.1875,41.765625,0.38906189690932985,0.18012924928733245,0.004095600451600744,-0.5996104770022838
15.1875,42.1875,0.38906189690932985,0.17865447216723648,0.004039728581132172,-0.5998151540436937
