doses,$Gly$,$Gly_{CAA}$,$Gly_{RDM}$
0.0,1.0,0.9999999999999999,0.9999999999999994
0.005,0.9985870429103376,0.9977821849475185,0.9953577690814345
0.01,0.9971657503474888,0.995541202374879,0.9905985603674302
0.015,0.9957360269319545,0.9932766420637297,0.9857183482015849
0.02,0.9942977754985006,0.9909880821455581,0.9807129057428491
0.025,0.9928508970486233,0.9886750886202977,0.9755777892539282
0.03,0.9913952907013796,0.9863372148487024,0.970308320657762
0.035,0.9899308536424958,0.9839740010166985,0.9648995681269614
0.04,0.9884574810716886,0.9815849735698139,0.9593463244337104
0.045,0.9869750661481203,0.9791696446156123,0.9536430827432538
0.05,0.9854834999339078,0.9767275112918695,0.9477840094813104
0.055,0.983982671335592,0.9742580550980857,0.9417629138426235
0.06,0.9824724670434879,0.9717607411876776,0.9355732134321885
0.065,0.9809527714688159,0.969235017617985,0.9292078954393987
0.07,0.979423466678506,0.9666803145549853,0.9226594726349259
0.075,0.9778844323275887,0.9640960434293134,0.9159199333457587
0.08,0.9763355455890382,0.9614815960399,0.908980684399546
0.085,0.9747766810809703,0.9588363436011881,0.9018324858276442
0.09,0.973207710791057,0.9561596357295332,0.8944653758669172
0.095,0.9716285039980375,0.9534507993639642,0.8868685844907879
0.1,0.9700389271901785,0.9507091376160377,0.8790304333130903
0.105,0.9684388439805448,0.9479339285430051,0.8709382192220838
0.11,0.9668281150189243,0.9451244238379505,0.8625780784867615
0.115,0.9652065979002401,0.9422798474299195,0.853934827294251
0.12,0.9635741470692851,0.9393993939863757,0.8449917736726609
0.125,0.9619306137215873,0.9364822273095073,0.8357304944564459
0.13,0.9602758457002204,0.9335274786170605,0.8261305692635714
0.135,0.9586096873883492,0.9305342446973607,0.8161692612407146
0.14,0.9569319795972935,0.9275015859270923,0.805821131408473
0.145,0.9552425594498846,0.9244285241391496,0.7950575695434011
0.15,0.9535412602588595,0.9213140403264736,0.7838462193044777
0.155,0.9518279114000459,0.9181570721661828,0.772150268237958
0.16,0.9501023381800476,0.9149565113465168,0.759927563659596
0.165,0.9483643616981506,0.9117112006770622,0.7471295022162039
0.17,0.9466137987021244,0.9084199309604025,0.7336996227960655
0.17500000000000002,0.9448504614375969,0.9050814376006729,0.7195718075761328
0.18,0.9430741574906405,0.9016943969214946,0.7046679621754878
0.185,0.9412846896231964,0.8982574221622562,0.6888950010929069
0.19,0.9394818556009343,0.8947690591177598,0.6721409088668556
0.195,0.9376654480131135,0.8912277813816297,0.6542695886425063
0.2,0.9358352540839919,0.8876319851486059,0.6351141807095776
0.20500000000000002,0.9339910554752923,0.8839799835247035,0.6144686386861926
0.21,0.9321326280791916,0.8802700002871011,0.5920779067988398
0.215,0.9302597418012923,0.8765001630273231,0.5676291404827296
0.22,0.9283721603329531,0.8726684956016256,0.54075548172234
0.225,0.9264696409123501,0.8687729098011036,0.5111081948971619
0.23,0.9245519340735712,0.8648111961407264,0.47866322719835613
0.23500000000000001,0.9226187833830103,0.8607810136507448,0.44395545503402084
0.24,0.9206699251622531,0.8566798785352323,0.4065944384037575
0.245,0.9187050881966107,0.8525051515403672,0.3666894636520577
0.25,0.9167239934283796,0.8482540238485194,0.32872168975763155
0.255,0.9147263536338314,0.8439235012824338,0.2960102373841902
0.26,0.9127118730828713,0.8395103865655096,0.2686353470390714
0.265,0.9106802471802108,0.835011259337795,0.2455825920986264
0.27,0.9086311620868132,0.8304224535709253,0.22586291182961385
0.275,0.9065642943202746,0.8257400319562396,0.208728777298253
0.28,0.9044793103326775,0.8209597567554979,0.19364464145823315
0.28500000000000003,0.9023758660643535,0.8160770564986086,0.18022618502447924
0.29,0.9002536064718585,0.8110869877822181,0.1681919671995483
0.295,0.8981121650282999,0.8059841912592205,0.15733037619984716
0.3,0.8959511631940149,0.8007628407027264,0.14747787672721605
0.305,0.893770209855436,0.7954165837653732,0.13850474205374858
0.31,0.8915689007297473,0.789938472718338,0.13030560700111257
0.315,0.8893468177327712,0.7843208830193921,0.12279311385577409
0.32,0.8871035283072569,0.7785554169920467,0.11589356171557902
0.325,0.884838584708499,0.7726327891505572,0.10954387072065062
0.33,0.8825515232439284,0.7665426887108858,0.10368941412854997
0.335,0.880241863462995,0.7602736134884733,0.09828243798298957
0.34,0.877909107293307,0.7538126675581425,0.09328088102348442
0.34500000000000003,0.8755527381186125,0.7471453125292778,0.08864747448435714
0.35000000000000003,0.8731722197937579,0.7402550587532639,0.08434903733304869
0.355,0.8707669955912782,0.7331230777419498,0.08035591401104061
0.36,0.8683364870737259,0.725727709768976,0.07664151744390163
0.365,0.8658800928852415,0.7180438298188062,0.07318194981261059
0.37,0.8633971874551761,0.7100420187108839,0.06995568323821008
0.375,0.8608871196058194,0.70168746091623,0.06694328975201662
0.38,0.85834921105541,0.69293845027294,0.06412720669945114
0.385,0.8557827548066497,0.6837443185513873,0.06149153483547903
0.39,0.8531870134098134,0.6740424889070041,0.05902186106961985
0.395,0.8505612170883357,0.663754155562829,0.05670510304530715
0.4,0.8479045617133126,0.6527777162063482,0.054529372243737245
0.405,0.8452162066117733,0.6409783405818928,0.05248385204537494
0.41000000000000003,0.8424952721917189,0.6281704751181153,0.050558690674165005
0.41500000000000004,0.8397408373648705,0.6140863857900423,0.04874490506577782
0.42,0.8369519367456496,0.5983141202251933,0.04703429534149773
0.425,0.8341275576021754,0.5801582019690368,0.04541936861862182
0.43,0.831266636531904,0.5582579168891568,0.0438932708323867
0.435,0.828368055830902,0.5290880534903885,0.04244972568210534
0.44,0.8254306395215153,0.472110339546838,0.041082980000101
0.445,0.822453148998308,0.16573197361987035,0.039787754851024315
0.45,0.8194342782464623,0.11481401576216482,0.038559200850538204
0.455,0.8163726485801831,0.10448469983926012,0.037392859597778376
0.46,0.813266802840866,0.0989693839492285,0.03628462744780519
0.465,0.8101151989856507,0.09492597870601961,0.035230723632182354
0.47000000000000003,0.8069162029862034,0.09156660347574018,0.034227661379005986
0.47500000000000003,0.8036680809448012,0.0886113933390977,0.03327222198517556
0.48,0.8003689903196264,0.08593305363227902,0.03236143117740046
0.485,0.7970169701330991,0.08346297329931471,0.03149253807321425
0.49,0.7936099300153687,0.08115933481118673,0.030662995880029117
0.495,0.7901456379090036,0.07899423073084999,0.029870444530432
0.5,0.7866217062293613,0.07694773755444664,0.029112695061296382
