dose,r30,r30_r50,r30_r50C,r30_r50D,r30_r50CD,r30A,r30A_r50,r30A_r50C,r30A_r50D,r30A_r50CD,r30B,r30B_r50,r30B_r50C,r30B_r50D,r30B_r50CD,r30AB,r30AB_r50,r30AB_r50C,r30AB_r50D,r30AB_r50CD,r_tot,growth
0.0,32.8233344236358,27.176665573841177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.999999997476976,0.8329815755411121
0.00825347900390625,32.6355358750471,27.033703195106433,0.0,0.0,0.0,0.15417159779205133,0.17658933266856053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.00000000061414,0.8285996904051419
0.0165069580078125,32.44569914970513,26.88930373920382,0.0,0.0,0.0,0.30993679769359006,0.35506031208768485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.99999999869022,0.824173757933707
0.024760437011718747,32.25376069218074,26.743421557877415,0.0,0.0,0.0,0.4673445176866028,0.5354732314063754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.99999999915114,0.8197023790283559
0.033013916015625,32.059653552289596,26.596008528538064,0.0,0.0,0.0,0.6264462648600189,0.7178916584680947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.00000000415578,0.8151840787156813
0.04126739501953125,31.863307116498905,26.447013856298554,0.0,0.0,0.0,0.7872963335065758,0.9023826902089247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.999999996512955,0.8106172999904059
0.049520874023437494,31.66464685553557,26.296383889773352,0.0,0.0,0.0,0.9499520216773361,1.0890172314746895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.99999999846094,0.8060003985474836
0.057774353027343746,31.46359396672847,26.144061855785996,0.0,0.0,0.0,1.1144738725236254,1.2778703053084106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0000000003465,0.8013316341918227
0.06602783203125,31.260065048743083,25.98998762079186,0.0,0.0,0.0,1.2809259389942347,1.469021394232068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.00000000276125,0.79660916379689
0.07428131103515624,31.05397170693323,25.83409739958997,0.0,0.0,0.0,1.4493760782347158,1.6625548198673683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.000000004625285,0.7918310323000816
0.0825347900390625,30.845220122587868,25.67632343754503,0.0,0.0,0.0,1.6198962784079118,1.8585601648411672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.00000000338198,0.7869951629641594
0.09078826904296874,30.633710576032165,25.516593658682876,0.0,0.0,0.0,1.792563022437486,2.057132742887634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.00000000004015,0.7820993466226182
0.09904174804687499,30.419336912515035,25.354831271269582,0.0,0.0,0.0,1.9674576941848994,2.258374124311779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0000000022813,0.7771412296088388
0.10729522705078125,30.201985925865618,25.19095431168665,0.0,0.0,0.0,2.1446670349936503,2.4623927267085444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.99999999925446,0.7721182996204436
