dose,r30,r30_r50,r30_r50C,r30_r50D,r30_r50CD,r30A,r30A_r50,r30A_r50C,r30A_r50D,r30A_r50CD,r30B,r30B_r50,r30B_r50C,r30B_r50D,r30B_r50CD,r30AB,r30AB_r50,r30AB_r50C,r30AB_r50D,r30AB_r50CD,r_tot,growth
0.0,32.8233344236358,27.176665573841177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.999999997476976,0.8329815755411121
0.01875,31.939725537004527,26.504988732460543,0.0,0.0,0.0,0.7247036302692652,0.8305821007377843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.00000000047212,0.8123942657571027
0.0375,31.066635795242235,25.843672982962417,0.0,0.0,0.0,1.4390279926178757,1.6506632270515849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.99999999787411,0.7921245297990466
0.056249999999999994,30.205706160013985,25.19375816332287,0.0,0.0,0.0,2.1416348494334225,2.4589008252782607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.999999998048544,0.7722042393965061
0.075,29.358525678070176,24.556229171464608,0.0,0.0,0.0,2.8312406930646783,3.254004455980559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.99999999858002,0.7526635822630987
0.09375,28.526604369007437,23.9319993029486,0.0,0.0,0.0,3.5066389735023322,4.034757353622393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.99999999908077,0.7335305514691213
0.11249999999999999,27.71134779563298,23.321895257095623,0.0,0.0,0.0,4.166720596352427,4.800036349972316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.99999999905335,0.7148304858562726
0.13125,26.91403449080625,22.72664450454226,0.0,0.0,0.0,4.81049174657315,5.5488292574805405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.9999999994022,0.696585682853833
0.15,26.13579722813429,22.14686555465337,0.0,0.0,0.0,5.437088256866195,6.28024896344175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.00000000309561,0.6788151001713968
0.16874999999999998,25.377608860292035,21.58306146688175,0.0,0.0,0.0,6.045785968674366,6.993543702350629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.99999999819878,0.6615341568279568
0.1875,24.640273186978572,21.035616775862586,0.0,0.0,0.0,6.636006803848947,7.688103232444029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.999999999134126,0.6447546391244029
0.20625,23.9244208657576,20.504797694263637,0.0,0.0,0.0,7.207320539386134,8.363460897250974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.999999996658346,0.6284847065951094
0.22499999999999998,23.230510244528126,19.99075540516815,0.0,0.0,0.0,7.7594425381405925,9.019291809122304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.999999996959176,0.6127289931261506
0.24375,22.558832556276915,19.49353196880698,0.0,0.0,0.0,8.292227893694628,9.655407578766104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.99999999754463,0.5974887878767643
