doses,$Gly$,$Gly_{CAA}$,$Gly_{RDM}$
0.0,1.0,0.9999999999999999,0.9999999999999994
0.01,0.9970728038831035,0.9953787811503517,0.9901981060917259
0.02,0.9941080809243368,0.9906508581007956,0.979832326850005
0.03,0.9911048626436807,0.9858117777872049,0.9688522443573773
0.04,0.9880621389784813,0.9808567780553774,0.9571999986424943
0.05,0.9849788557215268,0.9757807560382622,0.9448085306696472
0.06,0.9818539117519071,0.9705782322087226,0.9315992398200945
0.07,0.9786861560377744,0.9652433093613689,0.9174788007732161
0.08,0.9754743843875953,0.9597696256198218,0.9023347430642403
0.09,0.9722173359235812,0.9541503003690364,0.8860291559747768
0.1,0.9689136892476771,0.9483778717645355,0.8683894554594757
0.11,0.9655620582666713,0.9424442241558528,0.8491943585227307
0.12,0.9621609876386091,0.9363405033591362,0.8281516535415417
0.13,0.9587089477976253,0.9300570171948084,0.8048610702041464
0.14,0.9552043295084646,0.9235831180304879,0.7787479930795067
0.15,0.9516454378951316,0.916907063181272,0.7489343077049873
0.16,0.9480304858802049,0.9100158478399205,0.713954467638944
0.17,0.9443575869620849,0.902895003625091,0.6710084633229664
0.18,0.9406247472465763,0.8955283536815248,0.613292867217154
0.19,0.9368298566364752,0.8878977122978924,0.5443590619951868
0.2,0.9329706790677069,0.8799825128587677,0.2850912952037561
0.21,0.9290448416627417,0.8717593420543709,0.21010012226655558
0.22,0.9250498226507525,0.8632013497551791,0.17124140614327843
0.23,0.9209829378785851,0.854277491410487,0.1438029399129781
0.24,0.9168413257061684,0.844951540940656,0.12282142879438152
0.25,0.9126219300432995,0.8351807829660371,0.10621962834562212
0.26,0.9083214812402531,0.8249142470690595,0.09282530450266471
0.27,0.9039364744905986,0.8140902713874232,0.08187005418572273
0.28,0.899463145338383,0.8026330552098268,0.07281006376870014
0.29,0.8948974418003968,0.7904476351674052,0.06524445702750234
0.3,0.890234992513385,0.7774123030612395,0.058870656731690986
0.31,0.8854710701904942,0.7633666667377529,0.053456697035112376
0.32,0.8806005495137246,0.7480918380705801,0.04882265352554333
0.33,0.8756178583902907,0.7312752895055511,0.04482759497972581
0.34,0.8705169212477246,0.7124427828730125,0.04136015945991365
0.35000000000000003,0.8652910927179327,0.6908093727531692,0.038331629272723086
0.36,0.8599330796404757,0.6648873020723051,0.03567077661211736
0.37,0.8544348487669581,0.6310613038663101,0.033319990839438644
0.38,0.8487875168252366,0.5706470917590626,0.031232343753641405
0.39,0.8429812186381762,0.06586617610449035,0.029369348208445663
0.4,0.837004947691856,0.06350391179508731,0.027699234433493723
0.41000000000000003,0.8308463617732055,0.060661921022597404,0.02619561424839076
0.42,0.8244915438402587,0.05786389822506685,0.024836439220078946
0.43,0.8179247048363419,0.05519022752694625,0.02360318266906465
0.44,0.8111278102297127,0.05265727542930537,0.022480193147292025
0.45,0.8040801048913345,0.050265273029890076,0.021454180249813874
0.46,0.7967575002883339,0.04800941372244738,0.02051380332227225
0.47000000000000003,0.7891317718375735,0.045883229391032246,0.019649340217463934
0.48,0.7811694891707095,0.04387978424769134,0.018852419505585933
0.49,0.7728305619137373,0.04199213544550004,0.018115802289503023
0.5,0.7640662172428062,0.04021352114354207,0.017433203868410824
0.51,0.7548161117088026,0.03853743790235494,0.016799146948236865
0.52,0.7450040760922878,0.03695767317818609,0.01620884050074398
0.53,0.734531608084011,0.03546831685332397,0.015658079153920992
0.54,0.7232674580671665,0.0340637636819853,0.015143159278747164
0.55,0.7110299901632309,0.03273871084798093,0.014660808729600383
0.56,0.6975550469366124,0.031488152611901105,0.014208127781347668
0.5700000000000001,0.6824313954764787,0.03030737309624167,0.013782539222354399
0.58,0.6649517136321182,0.029191937216185664,0.013381746102326123
0.59,0.6436848511983664,0.02813768111630597,0.013003695760125574
0.6,0.614611795240423,0.02714070107229995,0.012646549130844011
0.61,0.026452320486158466,0.026197342081897376,0.01230865445364503
0.62,0.02855200639896646,0.025304185818652514,0.011988524679710818
0.63,0.028120052887432696,0.02445803849816141,0.01168481798556921
0.64,0.027505887375124067,0.023655918374318782,0.01139632094246359
0.65,0.026835835383586883,0.022895043752741016,0.011121933909742133
0.66,0.026147560950755582,0.022172820861852693,0.010860658329043824
0.67,0.025457733179518587,0.0214868321937178,0.010611585665096132
0.68,0.024775075716836466,0.020834825149586768,0.010373887704912236
0.6900000000000001,0.024104572449603512,0.020214701259729722,0.010146808092746254
0.7000000000000001,0.023449204061065185,0.019624505804526956,0.009929654861314708
0.71,0.02281077860823603,0.01906241800125223,0.009721793876344503
0.72,0.022190370631114616,0.018526741723594312,0.009522643036014217
0.73,0.02158857207986626,0.01801589679389684,0.00933166717042452
0.74,0.021005644548039135,0.01752841065419565,0.009148373447913664
0.75,0.020441617017144042,0.017062910858345978,0.00897230739090709
0.76,0.019896351156275454,0.016618117789448623,0.008803049260909974
0.77,0.01936958677377594,0.01619283798907731,0.008640210861415643
0.78,0.018860974507120917,0.01578595796629211,0.008483432677775758
0.79,0.018370100026146318,0.015396438383918841,0.008332381312702468
0.8,0.017896502227363262,0.015023308711516019,0.00818674719606088
0.81,0.01743968726073471,0.0146656622409229,0.008046242520128083
0.8200000000000001,0.016999139497888498,0.014322651478572083,0.007910599387062688
0.8300000000000001,0.016574330002661036,0.013993483880800878,0.007779568136044039
0.84,0.01616472341537528,0.013677417899438332,0.007652915833776994
0.85,0.01576978329397953,0.0133737593493523,0.007530424915985136
0.86,0.015388976390184926,0.013081858004136995,0.0074118919520303715
0.87,0.015021775974759823,0.012801104494788518,0.007297126524221634
