doses,$Gly$,$Gly_{CAA}$,$Gly_{RDM}$
0.0,0.9999999999999997,1.0000000000000002,0.9999999999999994
0.02,0.9886601075098995,0.9889191136669307,0.9898132816391015
0.04,0.9774893263494445,0.978144703677158,0.980039252678886
0.06,0.9664981328631652,0.9676708051748195,0.9706461962121269
0.08,0.9556948733546113,0.9574898885115077,0.961605527275255
0.1,0.9450859453708695,0.9475933629926628,0.9528915162467827
0.12,0.9346759900233449,0.9379719662565632,0.9444809993513431
0.14,0.9244680868110167,0.9286160612134079,0.9363530997156059
0.16,0.914463944388369,0.9195158594282901,0.9284889698415635
0.18,0.9046640825236357,0.9106615866829915,0.9208715595349916
0.2,0.8950680020483053,0.9020436035321509,0.9134854097261491
0.22,0.8856743408776323,0.8936524911226971,0.9063164708215534
0.24,0.8764810151884873,0.8854791104066511,0.899351943424633
0.26,0.8674853455995644,0.8775146411262067,0.8925801390032648
0.28,0.8586841687441406,0.8697506055410498,0.8859903581058779
0.3,0.8500739349950738,0.8621788807484163,0.8795727838901549
0.32,0.841650793331918,0.8547917025650305,0.8733183889488941
0.34,0.8334106644639444,0.8475816632506753,0.867218853652933
0.36,0.825349303368311,0.8405417048167314,0.8612664944584616
0.38,0.8174623523926539,0.8336651092471117,0.8554542008350714
0.4,0.8097453860240116,0.8269454866375587,0.8497753796572328
0.42,0.8021939483551901,0.8203767620114345,0.8442239060650815
0.44,0.7948035841957046,0.8139531613794343,0.8387940799416536
0.46,0.7875698646848612,0.8076691974642399,0.8334805872750365
0.48,0.780488408174446,0.8015196553990196,0.8282784657777185
0.5,0.7735548970614294,0.7954995786229424,0.8231830742239107
0.52,0.7667650911692541,0.7896042551315889,0.8181900650410341
0.54,0.7601148382007632,0.783829204190595,0.81329535975576
0.56,0.7536000817174114,0.7781701635833708,0.8084951269496757
0.58,0.7472168670379409,0.7726230774356315,0.8037857624262664
0.6,0.7409613453952276,0.7671840846384881,0.7991638713306726
0.62,0.7348297766419517,0.7618495078763632,0.7946262519977156
0.64,0.7288185307536772,0.7566158432547426,0.7901698813327663
0.66,0.7229240883413376,0.751479750514704,0.7857919015550238
0.68,0.7171430403533727,0.7464380438155797,0.7814896081542364
0.7000000000000001,0.7114720871203484,0.7414876830633499,0.7772604389303446
0.72,0.7059080368713266,0.7366257657600428,0.7731019640015216
0.74,0.7004478038309758,0.7318495193481148,0.7690118766798293
0.76,0.6950884059891144,0.7271562940232753,0.7649879851256691
0.78,0.6898269626195578,0.7225435559892914,0.7610282047026053
0.8,0.6846606916125182,0.718008881128778,0.7571305509631038
0.8200000000000001,0.6795869066740783,0.7135499490647379,0.7532931332036537
0.84,0.6746030144371254,0.7091645375885854,0.7495141485345936
0.86,0.6697065115204147,0.7048505174314743,0.7457918764159378
0.88,0.664894981565856,0.700605847356903,0.7421246736158554
0.9,0.6601660922786097,0.6964285695537857,0.7385109695530121
0.92,0.6555175924898953,0.6923168053103509,0.7349492619881054
0.9400000000000001,0.6509473092584794,0.6882687509504342,0.7314381130335132
0.96,0.6464531450235109,0.6842826740148796,0.7279761454531661
0.98,0.6420330748186072,0.6803569096718651,0.7245620392275404
1.0,0.6376851435547567,0.6764898573410353,0.7211945283611996
1.02,0.6334074633776883,0.6726799775173387,0.717872397912498
1.04,0.6291982111037376,0.6689257887814098,0.7145944812270564
1.06,0.6250556257369165,0.6652258649842366,0.7113596573583542
1.08,0.6209780060687876,0.6615788325947111,0.7081668486603685
1.1,0.6169637083618362,0.6579833681994178,0.705015018538589
1.12,0.6130111441163241,0.6544381961447973,0.7019031693469724
1.1400000000000001,0.6091187779199763,0.6509420863124596,0.6988303404195608
1.16,0.6052851253794044,0.6474938520191125,0.695795606226461
1.18,0.6015087511317793,0.6440923480331169,0.6927980746448179
1.2,0.5977882669349722,0.6407364687002818,0.6898368853362256
1.22,0.5941223298341556,0.6374251461719873,0.6869112082227294
1.24,0.590509640402695,0.6341573487292212,0.6840202420542936
1.26,0.5869489410550316,0.6309320791965628,0.6811632130611474
1.28,0.5834390144291818,0.627748373440532,0.6783393736850287
1.3,0.5799786818364402,0.6246052989471392,0.6755480013837657
1.32,0.5765668017758337,0.6215019534737918,0.672788397504168
1.34,0.5732022685108922,0.6184374637710638,0.6700598862185243
1.36,0.5698840107063204,0.615410984370124,0.667361813520431
1.3800000000000001,0.5666109901221742,0.6124216964319122,0.6646935462759959
1.4000000000000001,0.5633822003632085,0.6094688066544026,0.6620544713267364
1.42,0.5601966656811093,0.606551546234546,0.6594439946408299
1.44,0.5570534398273794,0.6036691698817034,0.6568615405095755
1.46,0.5539516049547196,0.6008209548795891,0.6543065507861945
1.48,0.5508902705648113,0.5980062001939433,0.6517784841642927
1.5,0.5478685725004885,0.5952242256233278,0.6492768154935055
1.52,0.544885671980339,0.5924743709906098,0.6468010351300374
1.54,0.5419407546738727,0.5897559953728472,0.6443506483199555
1.56,0.5390330298154458,0.5870684763674495,0.6419251746132683
1.58,0.5361617293552247,0.5844112093926046,0.6395241473069309
1.6,0.5333261071455225,0.581783607020095,0.6371471129150792
1.62,0.5305254381609259,0.5791850983387468,0.6347936306648908
1.6400000000000001,0.5277590177506934,0.5766151283468647,0.6324632720165864
1.6600000000000001,0.5250261609219778,0.5740731573720894,0.6301556202061799
1.68,0.5223262016524743,0.5715586605172343,0.6278702698096964
1.7,0.5196584922311831,0.5690711271307319,0.6256068263276363
1.72,0.5170224026260126,0.5666100603003978,0.623364905788561
1.74,0.5144173198770202,0.5641749763693101,0.621144134370747
1.76,0.5118426475141354,0.5617654044726599,0.6189441480409177
1.78,0.5092978049982757,0.559380886094514,0.6167645922091236
